"","Are.you.on.the.waiting.list.","Program","Programming.and.Analytical.Experiences..R..data.manipulation.and.modeling.","What.is.your.preferred.gender.pronoun.","What.code.text.editor.do.you.use.most.","Programming.and.Analytical.Experiences..R..graphic.basics..base..lattice..grid.etc....","Programming.and.Analytical.Experiences..R..advanced..multivariate.data.analysis..e.g..spatiotemporal.data..visualization.and.modeling..","Programming.and.Analytical.Experiences..Reproducible.documentation.with.R..e.g..R.Markdown..","Programming.and.Analytical.Experiences..Matlab..data.manipulation..analysis..visualization.and.modeling.","Programming.and.Analytical.Experiences..Github.","R","Excel","SQL","RStudio","ggplot2","Python","Stata","dropbox","google drive (formerly docs)","regular expressions (grep)","Github","shell (terminal / command line)","LaTeX","Sweave/knitr","XML","Web: html css js","C/C++","Matlab","SPSS","lattice","Number.Tools"
"11","No","IDSE (master)","Confident","he/him","RStudio","A little","None","Confident","A little","None",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6
"12","No","IDSE (master)","Confident","he/him","RStudio","Confident","Confident","Confident","Confident","None",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6
"13","No","IDSE (master)","Expert","he/him","RStudio","Confident","Expert","Confident","Confident","Confident",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,13
"14","Yes","Statistics (master)","Expert","he/him","RStudio","Confident","Confident","A little","None","Expert",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8
"15","Yes","Statistics (master)","Confident","she/her","RStudio","None","A little","None","A little","A little",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
"16","No","QMSS","Confident","she/her","RStudio","Confident","A little","Expert","A little","A little",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,13
"17","No","Other masters","Confident","she/her","RStudio","Confident","A little","Confident","A little","A little",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,6
"18","No","IDSE (master)","Confident","she/her","RStudio","A little","A little","Confident","A little","None",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5
"19","No","Statistics (master)","Confident","she/her","RStudio","A little","A little","None","None","None",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6
"20","No","IDSE (master)","A little","he/him","RStudio","Confident","A little","Confident","None","None",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10
"21","No","IDSE (master)","Expert","he/him","RStudio","Confident","Confident","Expert","Confident","Confident",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,15
"22","No","IDSE (master)","Confident","he/him","RStudio","Confident","A little","A little","A little","A little",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,9
"23","No","IDSE (master)","Confident","he/him","ipynb","Confident","Confident","Confident","A little","Confident",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,12
"24","Yes","Statistics (master)","A little","she/her","RStudio","A little","Confident","A little","A little","None",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
"25","No","IDSE (master)","Confident","she/her","RStudio","A little","A little","None","A little","None",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6
"26","Yes","Statistics (master)","Confident","she/her","RStudio","A little","A little","Confident","None","None",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4
"27","No","IDSE (master)","Confident","he/him","notepad++","Confident","A little","A little","A little","Confident",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,13
"28","No","IDSE (master)","Confident","he/him","RStudio","A little","A little","Confident","A little","A little",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
